Date,L INC,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G FUND,F FUND,C FUND,S FUND,I FUND
12/5/2023,24.4885,12.4354,43.7167,13.0587,49.1853,13.4044,29.2533,14.352,14.3502,14.3483,17.9052,18.7502,71.1348,71.1555,38.0914
12/4/2023,24.4956,12.4424,43.7739,13.0776,49.2643,13.4279,29.3095,14.3928,14.391,14.3891,17.903,18.6427,71.1723,71.9952,38.2004
12/1/2023,24.5204,12.4608,43.8906,13.1162,49.4234,13.4744,29.4173,14.4541,14.4524,14.4504,17.8963,18.6929,71.5592,71.5764,38.4578
11/30/2023,24.4482,12.4124,43.6175,13.0264,49.0562,13.3671,29.1694,14.3175,14.3157,14.3137,17.8939,18.5331,71.1354,69.8017,38.1279
11/29/2023,24.4347,12.4026,43.5559,13.0065,48.9749,13.3435,29.114,14.2803,14.2786,14.2766,17.8914,18.6015,70.8461,69.4755,38.138
11/28/2023,24.4176,12.3923,43.5075,12.9906,48.9102,13.3246,29.0712,14.2617,14.2599,14.2579,17.889,18.501,70.9014,68.8451,38.0913
11/27/2023,24.4062,12.3858,43.4791,12.9813,48.8736,13.3141,29.0479,14.2527,14.2508,14.2487,17.8866,18.4329,70.8323,68.9552,38.0537
11/24/2023,24.4048,12.388,43.5144,12.9932,48.9246,13.3294,29.0852,14.2822,14.2803,14.2782,17.8792,18.3319,70.9698,69.0654,38.1526
11/22/2023,24.3817,12.3722,43.4211,12.9631,48.8017,13.2937,29.002,14.2293,14.2274,14.2253,17.8743,18.3923,70.9262,68.6717,37.8638
11/21/2023,24.3583,12.3564,43.3307,12.9336,48.6815,13.2588,28.921,14.1819,14.1801,14.178,17.8718,18.3841,70.636,68.2231,37.825
11/20/2023,24.3755,12.3694,43.4143,12.9612,48.7953,13.2922,28.9992,14.2296,14.2278,14.2257,17.8694,18.3682,70.7779,68.7254,37.9722
11/17/2023,24.3253,12.3364,43.2315,12.9018,48.5543,13.2224,28.8382,14.137,14.1352,14.1331,17.862,18.3358,70.2515,68.2675,37.7726
11/16/2023,24.2813,12.3063,43.0573,12.8448,48.3214,13.1545,28.6808,14.0458,14.0439,14.0418,17.8596,18.3065,70.1602,67.5634,37.297
11/15/2023,24.2799,12.3073,43.0775,12.8516,48.3508,13.1635,28.7034,14.066,14.0641,14.0619,17.8572,18.2064,70.0608,68.3315,37.3664
11/14/2023,24.2769,12.3045,43.0547,12.8445,48.3215,13.1551,28.6828,14.0474,14.0455,14.0434,17.8547,18.3099,69.9367,68.101,37.3679
11/13/2023,24.1068,12.1883,42.3846,12.625,47.4255,12.8942,28.0796,13.7048,13.7028,13.7007,17.8523,18.0954,68.6141,65.2409,36.4041
11/10/2023,24.098,12.184,42.3715,12.6212,47.4117,12.8905,28.0717,13.7013,13.6993,13.6972,17.8449,18.0891,68.6674,65.2391,36.3361
11/9/2023,24.0325,12.1391,42.1096,12.5359,47.0638,12.7895,27.8382,13.5651,13.5632,13.561,17.8425,18.0669,67.6016,64.4925,36.2846
11/8/2023,24.0714,12.1653,42.256,12.5842,47.2611,12.8471,27.9706,13.6345,13.6326,13.6305,17.8401,18.2077,68.1398,65.3721,36.2022
11/7/2023,24.0689,12.1649,42.264,12.5869,47.2736,12.851,27.9807,13.6446,13.6427,13.6406,17.8377,18.148,68.0685,65.7768,36.2489
11/6/2023,24.0624,12.1621,42.2596,12.5855,47.2687,12.8497,27.9789,13.6494,13.6475,13.6454,17.8353,18.0589,67.8745,65.4909,36.5044
11/3/2023,24.0695,12.168,42.2992,12.5992,47.3266,12.8672,28.0194,13.669,13.6671,13.665,17.8279,18.1398,67.7535,66.2469,36.5816
11/2/2023,23.9846,12.1107,41.9749,12.4932,46.8949,12.7417,27.7299,13.5068,13.5048,13.5027,17.8255,18.0142,67.1201,64.6338,36.1882
11/1/2023,23.8561,12.0229,41.4708,12.3288,46.2257,12.5475,27.2818,13.2506,13.2486,13.2465,17.8231,17.9043,65.8741,63.1101,35.5299
10/31/2023,23.7799,11.9725,41.1936,12.2384,45.859,12.4415,27.0384,13.1187,13.1167,13.1145,17.8208,17.7327,65.1891,62.7792,35.128
10/30/2023,23.747,11.9499,41.0624,12.1959,45.686,12.3913,26.9224,13.0499,13.0479,13.0457,17.8184,17.7504,64.7653,62.1961,35.059
10/27/2023,23.6767,11.9022,40.7887,12.1073,45.3266,12.2875,26.6825,12.9076,12.9057,12.9035,17.8114,17.7871,63.9912,61.7108,34.6764
10/26/2023,23.7051,11.9227,40.9141,12.1484,45.4949,12.3366,26.7964,12.975,12.973,12.9708,17.8091,17.7837,64.2985,62.3733,34.8083
10/25/2023,23.7437,11.9515,41.0995,12.2087,45.7415,12.4081,26.9632,13.0805,13.0785,13.0763,17.8068,17.6691,65.0678,62.3435,35.0284
10/24/2023,23.8249,12.0073,41.4205,12.3138,46.1701,12.5327,27.2508,13.2416,13.2397,13.2375,17.8044,17.799,66.0143,63.6982,35.2261
10/23/2023,23.7824,11.9789,41.262,12.2621,45.9604,12.4719,27.1108,13.1634,13.1614,13.1592,17.8021,17.7386,65.5366,63.1346,35.1227
10/20/2023,23.778,11.9785,41.2779,12.2677,45.9855,12.4797,27.1305,13.1802,13.1782,13.1759,17.7951,17.6679,65.6473,63.6398,35.0579
10/19/2023,23.8437,12.0257,41.5685,12.3626,46.3741,12.5928,27.3934,13.3393,13.3373,13.3349,17.7927,17.6115,66.4821,64.4962,35.4434
10/18/2023,23.8997,12.0647,41.798,12.438,46.6824,12.6827,27.6015,13.458,13.456,13.4536,17.7904,17.6844,67.0461,65.4501,35.7061
10/17/2023,23.996,12.1319,42.1949,12.5681,47.2146,12.8377,27.9607,13.6654,13.6633,13.661,17.7881,17.7666,67.9562,66.9728,36.255
10/16/2023,23.9952,12.1303,42.1764,12.5623,47.1903,12.8305,27.9427,13.6469,13.645,13.6427,17.7858,17.8913,67.9629,66.3857,36.2326
10/13/2023,23.9376,12.0906,41.9418,12.4863,46.8803,12.7406,27.7335,13.5182,13.5163,13.5142,17.7788,17.9787,67.2484,65.2881,36.0398
10/12/2023,23.9738,12.1176,42.1158,12.5432,47.1143,12.8089,27.8934,13.6186,13.6167,13.6145,17.7764,17.8928,67.5864,65.9132,36.4147
10/11/2023,24.0314,12.1568,42.339,12.6168,47.4152,12.8967,28.096,13.7288,13.7269,13.7248,17.7741,18.0472,68.0042,67.2202,36.6489
10/10/2023,24.0013,12.1374,42.2353,12.583,47.2783,12.8572,28.0054,13.6809,13.6789,13.6767,17.7718,17.9647,67.7103,67.1241,36.5341
10/6/2023,23.8983,12.0696,41.8627,12.4617,46.7859,12.7145,27.6773,13.4984,13.4964,13.4942,17.7624,17.8067,66.9353,65.9699,35.9926
10/5/2023,23.832,12.023,41.583,12.3707,46.4145,12.6067,27.4269,13.3469,13.345,13.3428,17.7601,17.8728,66.1431,65.1397,35.6269
10/4/2023,23.8156,12.0122,41.5233,12.3514,46.3362,12.5841,27.3748,13.3169,13.3149,13.3128,17.7578,17.866,66.2179,65.2107,35.322
10/3/2023,23.7739,11.985,41.3772,12.3036,46.1427,12.528,27.2464,13.2488,13.2469,13.2447,17.7555,17.7489,65.6854,64.8305,35.3023
10/2/2023,23.8678,12.0497,41.7526,12.4268,46.6456,12.6745,27.5848,13.4398,13.4379,13.4357,17.7531,17.8913,66.5952,66.1459,35.7699
9/29/2023,23.9132,12.0811,41.9348,12.487,46.8922,12.7466,27.7514,13.5306,13.5287,13.5266,17.749,18.017,66.59,66.9696,36.2968
9/28/2023,23.9222,12.0887,41.9835,12.5032,46.9593,12.7662,27.7972,13.5573,13.5555,13.5534,17.7448,18.0275,66.7689,67.0891,36.3359
9/27/2023,23.8754,12.0558,41.8011,12.4436,46.7165,12.6957,27.6343,13.4645,13.4626,13.4605,17.7428,17.9792,66.3691,66.4175,36.082
9/26/2023,23.8767,12.0562,41.7998,12.4434,46.715,12.6951,27.6321,13.4589,13.457,13.4549,17.7407,18.0485,66.3528,65.8287,36.1784
9/25/2023,23.9561,12.1146,42.1388,12.5543,47.1688,12.8272,27.9384,13.6388,13.637,13.6349,17.7386,18.0669,67.3407,66.6921,36.5989
9/22/2023,23.9569,12.1152,42.1402,12.5554,47.174,12.8289,27.9418,13.6332,13.6315,13.6294,17.7324,18.1937,67.0697,66.4617,36.8195
9/21/2023,23.9589,12.1182,42.1666,12.5641,47.2103,12.8396,27.9675,13.6531,13.6513,13.6492,17.7303,18.1264,67.2229,66.5637,36.8311
9/20/2023,24.0645,12.1946,42.6033,12.7074,47.7969,13.0106,28.3637,13.8803,13.8786,13.8765,17.7283,18.248,68.3417,67.9077,37.4073
9/19/2023,24.1007,12.2216,42.7627,12.7597,48.0113,13.0731,28.5089,13.966,13.9642,13.9622,17.7262,18.2577,68.9852,68.4045,37.4531
9/18/2023,24.1084,12.2271,42.7928,12.7698,48.0529,13.0854,28.537,13.9793,13.9776,13.9756,17.7242,18.3122,69.1341,68.6603,37.381
9/15/2023,24.1118,12.2319,42.8329,12.7835,48.1106,13.1027,28.5783,14.0063,14.0045,14.0025,17.7179,18.285,69.0831,69.0005,37.5561
9/14/2023,24.1601,12.2674,43.0384,12.8509,48.3869,13.1832,28.765,14.1144,14.1127,14.1106,17.7159,18.3282,69.9307,69.7014,37.5711
9/13/2023,24.1025,12.2253,42.7935,12.7709,48.0596,13.0879,28.5434,13.9812,13.9794,13.9775,17.7138,18.3581,69.3271,69.006,37.1691
9/12/2023,24.1061,12.229,42.8208,12.7801,48.0982,13.0995,28.5711,13.9995,13.9978,13.9958,17.7117,18.333,69.2409,69.5102,37.2703
9/11/2023,24.1288,12.2463,42.9262,12.8147,48.2401,13.1408,28.6674,14.0578,14.056,14.054,17.7097,18.3183,69.6351,69.6378,37.3818
